Designator,Footprint,Quantity,Value,LCSC Part #
BOOT0_2,SW_DIP_SPSTx02_CTS_219-2MSTR,1,SW_DIP_x02_CTS_219-2MST,C2961978
"C102, C103, C106, C12, C21, C30, C40, C42, C43, C61, C64, C67, C68, C69, C82, C87, C92, C93, C94, C95, C98, C99",C_0402,22,100nF_0402_16V,C1525
"C109, C31, C33, C45, C46, C50, C51, C52, C53, C54, C55, C59, C60, C62, C63, C70, C73, C79",C_0402,18,1uF_0402_25V,C52923
"C13, C14",C_0402,2,6.8pF_0402_25V,C1576
C24,C_0402,1,10nF_0402_16V,C15195
"C29, C32",C_0402,2,2.2uF_0402_6.3V,C12530
"C41, C47, C48, C49",C_0603,4,2.2uF_0603_25V,C57895
"C44, C81, C83",C_0603,3,10uF_0603_10V,C19702
"C56, C72, C75",C_0402,3,100nF_0402_50V,C307331
"C71, C74, C80",C_0402,3,3.3nF_0402_16V,C26404
"C76, C84",C_0402,2,4.7uF_0402_6.3V,C23733
"C88, C89, C90, C91",C_0603,4,22uF_0603_6.3V,C59461
CON1,CardSlot_MicroSD_Molex_104031-0811,1,microSDCon_SMT_104031-0811,C585350
D11,DFN-1006-2,1,BAT54LP,C134410
"H1, H2, H3, H4",MountingHole_Generic_3mm,4,"Spacer Nylon, fits 3mm hole",
J1,Pins_2x04_P2.54mm_Horizontal_CroppedSilk,1,Pins_02x04_RightAngle_P2.54mm_TH,
J2,Pins_2x05_1.27mm_SMD,1,Pins_02x05_P1.27mm_SMT,C598540
J3,USB_C_Receptacle_Molex_2171790001,1,USB-C_Receptacle_Molex_2171790001,C2894899
"J4, J6",Connector-80pin-P0.4mm-W3.0mm,2,Pins_02x40_P0.4mm_W3.0mm_SMT,C294544
J5,Pins_1x02_2.54mm_TH,1,Conn_01x02,
"L1, L3",1008,2,1uH_3.2A_2520,C435392
L2,L_Wuerth_MAPI-2510,1,4.7uH_1.7A_2510,C2047781
"R10, R11",R_0402,2,5.1k_0402,C105872
R3,R_0402,1,3k_0402,C137987
R4,R_0402,1,430k_0402,C163463
"R41, R61, R64, R66, R67, R69, R72",R_0402,7,10k_0402,C60490
R5,R_0402,1,620k_0402,C137952
"R52, R59",R_0402,2,240Ω_0402,C114755
R60,R_0402,1,100k_0402,C60491
R62,R_0402,1,20k_0402,C93942
R63,R_0402,1,31.6k_0402,C276265
R65,R_0402,1,6.8k_0402,C93940
R68,R_0402,1,100Ω_0402,C106232
"R70, R71",R_0402,2,1k_0402,C106235
"S2, S3",Button_Tact_PTS526,2,SW_Push_PTS526 SM15 SMTR2 LFS,C2689521
U13,SOT23-3_PO132,1,NCP51460SN33,C233715 
U14,FBGA-96_Layout2x3x16_Body8x14_P0.8mm,1,DDR3L-RAM-4Gb_MT41K256M16TW,C253882
"U15, U16, U17",SOT-563,3,AP6230xZ6,C1880992
"U18, U19",SOT-23-5,2,TAR5S33,C2762700
U2,TFBGA-257_10x10mm_perP0.5_cntrP0.65,1,STM32MP15xxAD,C1236719
U20,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,AP2411SN,C2149815
U3,SOT-23-6,1,USBLC6-2SC6,C2827654
U5,SOIC-8_5.28x4.9mm_Pitch1.27mm,1,NORFLASH_W25Q128JV,C113767
X1,Crystal_2.0x1.6mm_4pin,1,24MHz_8pF_2x1.6mm,C1986107
